country,d_generation_older,d_holding_period_long,d_investor_type_pro,d_risk_appetite_high,d_sustainability_preferred,gender,generation,holding_period,hurdle_rate,investor_type,motivation_ranking_1,motivation_ranking_2,motivation_ranking_3,motivation_ranking_4,motivation_ranking_5,nps,nps_detractor,nps_passive,nps_promoter,nps_type,risk_appetite,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17,sustainability_preference,sustainability_returns,rank_environment,rank_resilience,rank_performance,rank_legacy,rank_empowerment
6,1,0,1,1,1,2,3,1, ,5,1,3,4,2,5,7,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,3,5,2,4,3,1
1,1,0,1,1,1,2,3,2, ,4,4,1,2,5,3,10,0,0,1,1,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,3,4,3,1,5,2
8,1,0,0,1,1,2,3,2,10,2,1,3,2,5,4,9,0,0,1,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,3,5,3,4,1,2
16,0,1,1,1,0,2,4,4, ,3,2,5,1,3,4,1,1,0,0,-1,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,5,2,1,4
13,0,0,0,0,1,1,4,2,15,2,4,1,2,3,5,6,1,0,0,-1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,5,1
13,0,0,1,1,1,1,4,2, ,3,5,1,2,3,4,10,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,3,4,3,2,1,5
13,1,1,1,1,0,1,3,3,6,4,1,2,5,3,4,7,0,1,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,5,4,2,1,3
13,1,0,1,1,1,2,3,2,10,3,1,3,4,2,5,9,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,3,5,2,4,3,1
1, ,1,1,0,1,1, ,3,40,3,1,2,4,5,3,10,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,5,4,1,3,2
1,1,1,1,1,1,1,2,4,10,3,1,4,2,3,5,10,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,3,5,3,2,4,1
16,0,1,0,1,1,2,4,3,7,1,4,1,5,2,3,8,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,4,2,1,5,3
13,0,0,0,0,0,1,4,2,10,2,1,4,5,2,3,7,0,1,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,1,4,3
1,0,0,0,1,0,1,4,1, ,2,3,2,5,1,4,4,1,0,0,-1,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,2,4,5,1,3
20,0,0,0,1,1,1,4,2,5,2,1,4,2,3,5,7,0,1,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,2,4,1
2,1,0,0,0,1,2,3,2,8,2,3,2,5,1,4,8,0,1,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,2,4,5,1,3
16,0,1,0,0,1,2,4,3, ,2,1,4,2,3,5,9,0,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,5,4,5,3,2,4,1
20,0,1,0,1,1,2,4,3,15,2,3,2,1,4,5,5,1,0,0,-1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,5,3,4,5,2,1
16,0,1,0,1,0,2,4,4,8,2,1,4,5,2,3,0,1,0,0,-1,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,5,2,1,4,3
20,1,0,0,0,1,2,2,2,0,2,4,1,5,2,3,9,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,4,2,1,5,3
16,0,0,0,1,1,2,4,2,12,2,4,1,2,3,5,5,1,0,0,-1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,4,3,2,5,1
1,1,0,1,1,1,2,3,2,12,5,3,4,1,2,5,5,1,0,0,-1,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,3,3,2,5,4,1
1,1,1,0,1,1,2,3,3, ,1,1,4,3,2,5,10,0,0,1,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,3,5,2,3,4,1
15,1,1,0,0,1,2,3,3,4,1,1,3,2,4,5,7,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,4,5,3,4,2,1
5,1,1,0,0,1,2,3,3, ,2,4,1,5,3,2,9,0,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,4,1,2,5,3
6,0,1,0,0,1,2,4,3,4,2,1,4,2,3,5,9,0,0,1,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,4,5,3,2,4,1
8,0,0,0,0,1,2,4,2,8,2,4,3,2,5,1,7,0,1,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,4,5,2
13,1,0,0,1,1,2,3,2,25,2,4,1,2,3,5,8,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,3,4,3,2,5,1
13,0,0,0,1,0,2,4,2,15,2,1,3,4,2,5,5,1,0,0,-1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,5,2,4,3,1
12,1,0,0,1,0,2,3,1,10,2,4,2,3,1,5,5,1,0,0,-1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,3,5,1
9,1,0,0,1,0,2,3,2,50,2, , , , , ,2,1,0,0,-1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2, , , , , 
8,0,1,0,1,0,1,5,4,12,2,2,3,1,4,5,8,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,4,3,5,4,2,1
13,0,0,0,1,1,2,4,1,10,2,4,1,3,2,5,5,1,0,0,-1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4,4,4,2,3,5,1
13,0,0,0,0,0,1,4,1,10,2,5,4,1,3,2,5,1,0,0,-1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,2,4,5
8,0,0,0,0,0,2,4,2,8,2,2,1,4,3,5,7,0,1,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,4,5,2,3,1
20,1,0,0,1,1,2,3,2,7,2,1,3,2,4,5,9,0,0,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,3,5,3,4,2,1
9,0,0,0,0,1,2,4,2,5,2,1,5,4,2,3,7,0,1,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3,5,2,1,3,4
20,1,1,0,1,1,2,2,4,7,1,4,1,2,3,5,8,0,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,2,5,1
9,1,1,1,0,0, ,3,3,8,3,2,3,4,1,5,4,1,0,0,-1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,2,5,4,3,1
13,1,1,1,0,0,1,3,3, ,4,3,2,1,5,4,6,1,0,0,-1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,4,3,4,5,1,2
9,1,1,0,0,1,1,3,4,10,0,1,5,4,2,3,5,1,0,0,-1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,5,2,1,3,4
18,0,0,0,1,0,2,4,2,20,2,3,2,1,4,5,7,0,1,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,3,3,4,5,2,1
1,0,0,0,0,1,1,4,2, ,0,1,2,4,3,5,10,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5,2,5,4,2,3,1
11,0,1,0,0,1,1,4,3, ,2,4,5,2,1,3,9,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,3,2,3,1,5,4
13,1,1,0,0,1,2,3,3,7,2,1,4,2,3,5,8,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,3,5,3,2,4,1
5,0,0,0,1,1,2,4,1, ,0, , , , , ,8,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,3, , , , , 
1,1,0,1,1,0,2,3,2,9,3,3,2,5,1,4,5,1,0,0,-1,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,5,1,3
5,1,0,0,0,1,2,2,2,5,2,2,3,4,1,5,7,0,1,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,4,2,5,4,3,1
1,0,1,0,0,1,2,4,3, ,2,3,2,1,5,4,8,0,1,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,3,4,5,1,2
6,0,0,0,1,0,2,4,2,8,2,3,1,2,4,5,0,1,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,4,3,5,2,1
1,1,1,1,1,0,2,3,3,15,3,1,4,2,3,5,5,1,0,0,-1,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,5,3,2,4,1
13,0,0,0,1,0,2,4,2,10,2,1,5,4,2,3,5,1,0,0,-1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,3,4
17,0,0,0,1,0,2,4,2,10,2,3,1,2,4,5,5,1,0,0,-1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,4,3,5,2,1
13,0,0,0,0,0,2,4,2,10,2,5,2,1,4,3,6,1,0,0,-1,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,3,3,4,1,2,5
1,1,1,1,1,1,2,3,3,8,5,1,2,4,3,5,8,0,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,2,3,1
1,1,0,0,1,1,2,3,2, ,2,1,5,4,3,2,9,0,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,3,5,1,2,3,4
10,1,1,0,0,0,2,3,4, ,2,2,3,1,4,5,5,1,0,0,-1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,4,2,1
13,0,1,1,0,0,2,4,4,3,3,3,2,5,1,4,0,1,0,0,-1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,4,5,1,3
13,0,1,1,0,0,1,4,3,15,3,3,1,2,4,5,8,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,3,4,3,5,2,1
1,1,1,0,0,1,1,3,4, ,2,1,4,3,5,2,9,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5,3,5,1,3,4,2
3,0,0,0,1,0,2,4,1,25,2,2,3,4,1,5,3,1,0,0,-1,5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,2,5,4,3,1
13,1,1,0,0,1,2,3,3,6,2,4,2,3,1,5,7,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,3,2,4,3,5,1
20,1,1,1,1,1,1,3,4,10,5,1,4,2,3,5,7,0,1,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,2,4,1
7,1,0,1,1,0,2,3,2,7,3,2,3,1,4,5,7,0,1,0,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,3,5,4,2,1
16,0,1,0,1,1,1,4,3,3,1,1,2,4,3,5,9,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,3,5,4,2,3,1
13,0,0,0,1,1,2,4,2, ,2,1,5,3,4,2,3,1,0,0,-1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,3,5,1,3,2,4
4,0,0,0,1,1,2,4,2, ,2,1,4,5,2,3,4,1,0,0,-1,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,2,5,2,1,4,3
21,0,0,0,0,0,2,4,2, ,1,2,1,4,5,3,3,1,0,0,-1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,4,5,1,3,2
13,0,0,1,1,1,2,4,2,7,3,3,2,1,4,5,9,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,3,3,4,5,2,1
21,0,1,0,1,1,2,4,3,5,2,3,1,2,4,5,6,1,0,0,-1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,4,3,5,2,1
1,0,0,0,0,1,2,4,2,5,0,4,5,1,2,3,5,1,0,0,-1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2,1,5,4
13,0,0,0,0,0,2,4,2,7,2,1,4,3,2,5,8,0,1,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,5,2,3,4,1
6,1,1,0,0,1,1,2,4,3,2,1,4,5,2,3,8,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,2,5,2,1,4,3
1,0,0,1,1,1,2,4,2, ,3,1,3,2,4,5,9,0,0,1,1,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,3,5,3,4,2,1
13,1,0,0,1,1,2,3,2,20,2,1,2,3,4,5,9,0,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,3,5,4,3,2,1
13,0,1,0,1,1,2,4,3,8,2,4,1,5,2,3,10,0,0,1,1,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,3,4,2,1,5,3
8,1,0,0,1,0,2,3,2,35,2, , , , , ,5,1,0,0,-1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4, , , , , 
1,0,1,0,0,1,2,4,3,5,1,3,1,2,4,5,2,1,0,0,-1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,3,4,3,5,2,1
1,0,1,0,0,1,2,4,3,10,2,1,4,2,3,5,5,1,0,0,-1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,2,4,1
1,0,1,0,1,1,1,4,4,15,1,3,2,4,1,5,8,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,2,2,4,5,3,1
13,1,1,1,0,1,2,3,3,25,3,5,1,2,3,4,10,0,0,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,3,4,3,2,1,5
13,0,1,0,1,0,2,4,4,10,2,3,2,1,4,5,4,1,0,0,-1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,4,5,2,1
1,1,1,1,1,1,2,3,3,8,5,1,4,3,2,5,9,0,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,3,5,2,3,4,1
13,1,0,0,0,1,2,3,2,15,2,3,2,5,1,4,10,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,2,4,5,1,3
1,0,0,0,0,1,2,4,2,8,2,2,3,1,4,5,5,1,0,0,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,3,5,4,2,1
20,1,0,1,1,1,2,3,2,5,3,1,3,2,5,4,10,0,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4,3,5,3,4,1,2
8,0,0,0,0,1,2,4,1,12,2,3,2,1,4,5,10,0,0,1,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,5,2,1
14,0,1,0,0,1,1,4,4, ,1,1,4,3,2,5,9,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,5,2,3,4,1
16,0,1,0,1,0,2,4,3,7,2,3,2,1,5,4,5,1,0,0,-1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,4,5,1,2
8,0,1,0,0,0,2,4,4,10,1,3,4,2,1,5,7,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,3,5,4,1
16,0,0,0,1,1,1,4,2,8,2,3,1,2,4,5,9,0,0,1,1,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,4,4,3,5,2,1
8,0,0,0,1,1,2,4,2,10,2,3,2,4,1,5,10,0,0,1,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,4,2,4,5,3,1
8,0,0,0,1,1,1,4,1,35,2,1,5,2,3,4,7,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,4,5,3,2,1,4
19,1,0,0,1,1,2,3,2,25,1,2,3,1,5,4,10,0,0,1,1,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,3,3,5,4,1,2
20,0,0,0,1,0,2,4,2,5,2,2,1,3,4,5,6,1,0,0,-1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,3,4,5,3,2,1
8,0,1,0,1,1,2,4,3,16,2, , , , , ,9,0,0,1,1,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,4, , , , , 
16,0,1,0,0,1,1,4,3, ,1,1,2,3,4,5,10,0,0,1,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,3,5,4,3,2,1
8,0,1,0,1,0,2,4,4,30,2,2,4,1,3,5,6,1,0,0,-1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,5,2,4,1
20,0,0,0,0,1, ,4,2,5,1,1,3,2,5,4,0,1,0,0,-1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,3,5,3,4,1,2
19,0,0,0,1,1,1,4,2,0,2,1,5,4,3,2,8,0,1,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1,2,3,4
8,0,0,0,1,1,2,4,1,20,2,2,4,5,3,1,8,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,5,2,4,3
8,0,0,0,0,1,2,4,2,20,2,1,2,5,3,4,5,1,0,0,-1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,2,1,3
20,1,0,1,0,1,2,2,2,8,5,1,5,4,2,3,7,0,1,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,5,2,1,3,4
13,0,0,0,0,1,2,4,2,6,2,2,1,4,3,5,7,0,1,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,4,5,2,3,1
8,0,0,0,0,1,2,4,2,11,0,1,4,5,2,3,10,0,0,1,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,4,5,2,1,4,3
19,1,1,0,0,1,1,3,3,0,2,1,5,4,3,2,7,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,3,5,1,2,3,4
13,0,0,0,1,1,2,4,2,20,2,1,3,2,5,4,10,0,0,1,1,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,4,5,3,4,1,2
13,0,0,0,0,0,2,4,2,10,0,1,4,2,3,5,8,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,2,4,1
13,0,0,0,0,0,2,4,2,1,2,1,4,2,3,5,5,1,0,0,-1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,3,2,4,1
13,0,0,0,1,0,2,4,2,8,2,3,2,1,5,4,6,1,0,0,-1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,4,5,1,2
13,0,0,0,1,0,2,4,2,30,2,2,3,1,4,5,5,1,0,0,-1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,2,1
13,0,1,0,0,1,1,4,3,4,2,1,2,5,4,3,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,2,5,4,1,2,3
21,0,0,0,1,0,1,4,2, ,2,3,1,5,2,4,5,1,0,0,-1,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3,4,2,5,1,3
13,0,1,0,0,1,1,4,4,4,1,1,2,4,5,3,10,0,0,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5,4,5,4,1,3,2
13,1,0,1,1,1,2,3,2,10,3,4,1,2,3,5,9,0,0,1,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,3,4,3,2,5,1
